,zip_code_ta,Population,Sample Count,Black or Black and other race,White,Median Income,Median Family Income In The Past 12 Months
96,10465,44205.0,3400,6201.0,26656.0,36085.0,93767.0
97,10466,72479.0,4200,54368.0,8034.0,26846.0,61668.0
98,10467,103732.0,5600,38921.0,23469.0,21666.0,41726.0
99,10468,78647.0,4200,18087.0,9933.0,19907.0,40582.0
100,10469,73870.0,5100,41477.0,13892.0,29338.0,73976.0
101,10470,15432.0,1400,6227.0,6572.0,31247.0,67576.0
102,10471,21896.0,2000,2919.0,15033.0,41965.0,110615.0
103,10472,68796.0,4100,20150.0,10270.0,17990.0,35936.0
104,10473,59609.0,3200,25936.0,22362.0,24379.0,50481.0
105,10474,12127.0,800,5151.0,1118.0,15928.0,30016.0
106,10475,43208.0,1100,28010.0,7682.0,31610.0,63540.0
107,11001,27867.0,3100,1657.0,19036.0,45805.0,128906.0
108,11003,45263.0,2800,22706.0,9578.0,35456.0,102700.0
109,11004,15234.0,1000,1198.0,6402.0,40751.0,106834.0
110,11005,1749.0,100,0.0,1726.0,40840.0,103208.0
111,11040,41877.0,3500,839.0,20645.0,47579.0,136496.0
112,11101,30043.0,2200,5395.0,12915.0,40222.0,68840.0
113,11102,30800.0,2700,3375.0,18207.0,37369.0,60821.0
114,11103,36140.0,3600,1318.0,25632.0,40490.0,76070.0
115,11104,26119.0,1900,670.0,17459.0,38229.0,69636.0
116,11105,37382.0,3400,1308.0,27867.0,40863.0,84246.0
117,11106,38363.0,3000,3431.0,20734.0,37084.0,67298.0
118,11109,5981.0,250,287.0,4013.0,98396.0,194135.0
119,11201,62823.0,5300,10030.0,40248.0,72793.0,168979.0
120,11203,75451.0,6800,67977.0,3330.0,30301.0,63919.0
121,11204,76978.0,7300,1118.0,44686.0,22545.0,56168.0
122,11205,46064.0,3500,15686.0,22570.0,29349.0,59314.0
123,11206,88349.0,5700,25356.0,41715.0,21869.0,34951.0
124,11207,91972.0,6600,60644.0,13372.0,22579.0,47032.0
125,11208,98660.0,6500,54888.0,25549.0,27087.0,48487.0
126,11209,67809.0,6200,2916.0,50050.0,41450.0,97345.0
127,11210,67040.0,5800,40155.0,20877.0,34187.0,75151.0
128,11211,102624.0,6800,8084.0,76620.0,40122.0,60044.0
129,11212,76527.0,4700,63695.0,5487.0,17869.0,40188.0
130,11213,66295.0,4500,46001.0,14869.0,25107.0,47055.0
131,11214,92946.0,7900,1660.0,45769.0,24651.0,61799.0
132,11215,70156.0,5700,4752.0,53421.0,63578.0,156558.0
133,11216,56308.0,3900,33463.0,16316.0,36338.0,69266.0
134,11217,41407.0,3400,8922.0,24009.0,57988.0,127886.0
135,11218,74508.0,5900,7142.0,44496.0,32216.0,74529.0
136,11219,90036.0,7100,1246.0,60521.0,19006.0,40354.0
137,11220,95643.0,7000,3363.0,29005.0,20395.0,44401.0
138,11221,83835.0,5400,42967.0,23203.0,27589.0,54886.0
139,11222,36492.0,3100,1983.0,29893.0,52004.0,93082.0
140,11223,81789.0,7000,4443.0,46811.0,23522.0,60560.0
141,11224,46707.0,3000,11121.0,27137.0,17600.0,43416.0
142,11225,58882.0,3300,38536.0,16038.0,31933.0,62400.0
143,11226,100277.0,6100,69703.0,15288.0,29366.0,58387.0
144,11228,44994.0,5300,692.0,25047.0,29294.0,80352.0
145,11229,83615.0,8300,5488.0,54043.0,31259.0,75945.0
146,11230,89075.0,8100,6909.0,62333.0,25425.0,62448.0
147,11231,37845.0,2700,6013.0,24939.0,56835.0,139857.0
148,11232,27602.0,2100,2467.0,11391.0,26635.0,52764.0
149,11233,76819.0,4800,61749.0,6731.0,28652.0,46037.0
150,11234,95666.0,9200,44625.0,39753.0,36065.0,90864.0
151,11235,78128.0,6000,2303.0,58754.0,27444.0,68446.0
152,11236,100331.0,9000,87662.0,5879.0,33928.0,79301.0
153,11237,49310.0,3200,7451.0,20736.0,26552.0,40428.0
154,11238,54540.0,4000,22012.0,25308.0,50142.0,105246.0
155,11239,13244.0,550,8166.0,4057.0,18092.0,40922.0
156,11351,0.0,0,0.0,0.0,-666666666.0,-666666666.0
157,11354,55200.0,3700,2134.0,11472.0,22098.0,49493.0
158,11355,80853.0,5500,3413.0,10683.0,20942.0,42758.0
159,11356,23362.0,1700,496.0,8389.0,30741.0,64495.0
160,11357,39902.0,2900,508.0,27972.0,36868.0,93862.0
161,11358,37190.0,4000,585.0,15507.0,32348.0,75756.0
162,11359,0.0,0,0.0,0.0,-666666666.0,-666666666.0
163,11360,19621.0,1400,313.0,12199.0,48401.0,106151.0
164,11361,27246.0,3000,1248.0,13252.0,39358.0,95567.0
165,11362,18721.0,1200,405.0,9308.0,42370.0,105685.0
166,11363,6952.0,550,146.0,4124.0,50866.0,125907.0
167,11364,36806.0,2900,1194.0,14708.0,40369.0,92310.0
168,11365,44983.0,2600,4254.0,15033.0,30716.0,75024.0
169,11366,14650.0,1200,829.0,6295.0,31675.0,90026.0
170,11367,41824.0,2600,3930.0,23407.0,30023.0,64438.0
171,11368,112425.0,6300,12777.0,42338.0,21905.0,48245.0
172,11369,34118.0,3300,6112.0,9834.0,25773.0,61875.0
173,11370,32514.0,2700,5064.0,13704.0,28123.0,79861.0
174,11371,0.0,0,0.0,0.0,-666666666.0,-666666666.0
175,11372,61844.0,2700,2435.0,35443.0,30999.0,59083.0
