,MOD ZCTA,Population,Population_from_NYCHealth,Sample Count,Black or Black and other races,White,Median Income,Median Family Income,Median Age,Average Unit Size,NH/ACF Deaths,COVID Case Count,COVID Death Count,Total COVID Tests,Percent Positive,Death Rate,Case Rate,Borough,Neighborhood Name,Deaths less NH/ACF Deaths
23,10027,64548.0,63631.04,4300.0,26969.0,19706.0,29146.0,54083.0,31.0,2.7108479274285,0.0,1040,103,5272,0.19726858877086500,0.001595711718411110,0.01611204065191800,Manhattan,Central Harlem (South)/Morningside Heights/West Harlem,103.0
24,10028,47793.0,49155.08,2100.0,881.0,41217.0,79134.0,236313.0,38.9,1.8877083497906600,0.0,476,30,4171,0.11412131383361300,0.0006277069863787580,0.009959617517209630,Manhattan,Upper East Side/Yorkville,30.0
25,10029,79597.0,78841.52,4000.0,25714.0,26896.0,20002.0,39282.0,35.1,2.5117387188387500,34.0,1825,198,8290,0.22014475271411300,0.0024875309370956200,0.022927999798987400,Manhattan,East Harlem,164.0
26,10030,29882.0,29321.91,1300.0,20149.0,5038.0,24046.0,49595.0,36.1,2.3462625628140700,0.0,503,52,2492,0.20184590690208700,0.001740178033598820,0.016832875978850100,Manhattan,Central Harlem (North),52.0
27,10031,60254.0,60556.93,2500.0,26486.0,17917.0,25155.0,50820.0,34.2,2.7439318730361100,0.0,1331,120,6293,0.2115048466550140,0.0019915690244631100,0.022089819763003300,Manhattan,Hamilton Heights/West Harlem,120.0
28,10032,64264.0,61492.57,2800.0,14433.0,19122.0,22186.0,54404.0,34.7,3.0281783055320000,0.0,1541,163,6865,0.22447195921340100,0.0025364122992655300,0.023979210755633000,Manhattan,Washington Heights (South),163.0
29,10033,59607.0,59210.43,2800.0,8637.0,24141.0,24878.0,59913.0,35.8,3.0331263993486700,0.0,1363,114,6121,0.2226760333278880,0.0019125270521918600,0.02286644186085530,Manhattan,Washington Heights (North)/Washington Heights (South),114.0
30,10034,42910.0,43073.65,2100.0,5989.0,16463.0,25312.0,55665.0,36.4,2.666045355700530,0.0,718,69,3805,0.18869908015768700,0.0016080167793055200,0.01673269634117920,Manhattan,Inwood/Washington Heights (North),69.0
31,10035,35743.0,34426.65,2100.0,15618.0,7246.0,18718.0,36792.0,36.3,2.477335736068760,24.0,976,121,4332,0.22530009233610300,0.0033852782362980200,0.027306045939065000,Manhattan,East Harlem,97.0
32,10036,27428.0,26211.25,1300.0,2326.0,17319.0,61935.0,151935.0,36.7,1.694864981770990,0.0,424,36,3010,0.14086378737541500,0.0013125273443196700,0.01545865538865390,Manhattan,Hell's Kitchen/Midtown Manhattan,36.0
33,10037,21139.0,20649.62,950.0,15990.0,2291.0,30791.0,46132.0,35.3,2.172335833932790,32.0,548,67,2865,0.19127399650959900,0.0031694971379913900,0.02592364823312360,Manhattan,Central Harlem (North)/East Harlem,35.0
34,10038,22800.0,22047.96,1400.0,2461.0,11784.0,51233.0,87261.0,36.2,2.2331047992164500,0.0,255,29,1723,0.14799767846778900,0.0012719298245614000,0.01118421052631580,Manhattan,Chinatown/Financial District,29.0
35,10039,27726.0,26457.52,1200.0,18406.0,3625.0,23456.0,44213.0,33.7,2.473327386262270,0.0,519,59,2451,0.211750305997552,0.0021279665296112000,0.01871889201471540,Manhattan,Central Harlem (North)/Washington Heights (South),59.0
36,10040,44571.0,44808.28,2200.0,6355.0,16091.0,22343.0,52870.0,37.4,2.7545269142821800,85.0,1132,112,4888,0.23158756137479500,0.0025128446747885400,0.025397680105898500,Manhattan,Washington Heights (North),27.0
37,10044,11682.0,11700.29,650.0,1541.0,5320.0,54798.0,125625.0,42.2,2.4604043807919100,14.0,238,34,1176,0.20238095238095200,0.002910460537579180,0.020373223763054300,Manhattan,Roosevelt Island,20.0
38,10065,28109.0,29061.49,1500.0,662.0,24285.0,81125.0,228333.0,39.8,1.8936270547022400,0.0,334,27,3240,0.10308641975308600,0.0009605464441993670,0.011882315272688500,Manhattan,Lenox Hill/Upper East Side,27.0
39,10069,5085.0,6338.13,200.0,197.0,3155.0,95592.0,179803.0,36.0,1.9925548589341700,0.0,54,2,509,0.10609037328094300,0.00039331366764995100,0.010619469026548700,Manhattan,Lincoln Square,2.0
40,10075,23140.0,23634.14,640.0,743.0,19853.0,76253.56439066550,181724.18651685400,44.56874675885910,1.9660320711350700,11.0,441,47,2796,0.157725321888412,0.002031114952463270,0.01905790838375110,Manhattan,Lenox Hill/Upper East Side,36.0
