zip_code_ta,Population,Sample Count,Black or Black and other race,White,Median Income,Median Family Income In The Past 12 Months,Black alone,Median Age,Housing Units,Average Unit Size,Density (persons per square mile)
10154,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0.0,0.0
10162,1584.0,40.0,0.0,1457.0,112011.0,250001.0,0.0,38.7,741.0,2.1376518218623500,140416.6667
10165,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0.0,400.0
10167,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,0.0
10168,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,0.0
10169,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,0.0
10170,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,200.0
10171,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,0.0
10172,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,0.0
10173,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,400.0
10174,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,0.0
10177,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,0.0
10199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
10271,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,0.0
10278,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,0.0
10279,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,2.388888888888890,0.0
10280,9384.0,450.0,330.0,7360.0,105321.0,212279.0,184.0,38.1,4560.0,2.057894736842110,63330.64516
10282,5593.0,300.0,61.0,4153.0,147538.0,250001.0,61.0,35.3,2231.0,2.5069475571492600,69318.84058000000
10301,38733.0,3200.0,11640.0,22280.0,30868.0,74412.0,9668.0,38.2,14489.0,2.673269376768580,10819.07357
10302,18204.0,1300.0,4029.0,11286.0,32679.0,85781.0,3754.0,34.9,6149.0,2.9604813790860300,15986.59966
10303,25947.0,1800.0,9784.0,11406.0,30820.0,67360.0,9170.0,33.1,8156.0,3.181338891613540,8395.600893
10304,41064.0,2400.0,11936.0,21403.0,28509.0,73592.0,11277.0,38.1,14172.0,2.8975444538526700,10888.51613
10305,42298.0,3100.0,3239.0,31174.0,36477.0,89040.0,2770.0,39.5,14663.0,2.884675714383140,9818.673565000000
10306,53142.0,3800.0,2597.0,45560.0,38658.0,93895.0,1775.0,43.9,20007.0,2.6561703403808700,7481.466613
10307,15232.0,1000.0,56.0,14284.0,44603.0,98897.0,56.0,39.7,5314.0,2.8663906661648500,7184.505607000000
10308,30186.0,1900.0,439.0,27810.0,44360.0,104497.0,339.0,42.9,10648.0,2.8348985725018800,13865.686770000000
10309,33531.0,1800.0,313.0,30789.0,44599.0,114083.0,293.0,40.5,11464.0,2.9248953244940700,4839.857122000000
10310,23262.0,2100.0,5401.0,13731.0,37543.0,83775.0,4844.0,38.8,8346.0,2.7872034507548500,13906.40669
10311,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,0.0
10312,61741.0,4400.0,1046.0,56226.0,42198.0,107874.0,793.0,41.6,21382.0,2.8875222149471500,7720.869678
10314,90761.0,6400.0,4427.0,66310.0,39054.0,101501.0,3852.0,40.8,31362.0,2.8939799757668500,6239.7840050000000
10451,47798.0,2500.0,20867.0,5972.0,19450.0,34974.0,19379.0,34.1,19123.0,2.4995032160225900,44381.5534
