,ZCTA,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,zip_code_ta,Population,Sample Count,Black or Black and other race,White,Median Income,Median Family Income In The Past 12 Months,Black alone,Median Age,Housing Units,Average Unit Size,Density (persons per square mile),Confirmed NH/ACF Deaths,Presumed NH/ACF Deaths,NH/ACF Deaths
27,10030,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,10030.0,29882.0,1300.0,20149.0,5038.0,24046.0,49595.0,18842.0,36.1,12736.0,2.3462625628140703,96770.60932,0,0,0
28,10031,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,10031.0,60254.0,2500.0,26486.0,17917.0,25155.0,50820.0,17982.0,34.2,21959.0,2.7439318730361126,86961.4792,0,0,0
29,10032,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,10032.0,64264.0,2800.0,14433.0,19122.0,22186.0,54404.0,12373.0,34.7,21222.0,3.0281783055319957,87394.81707,0,0,0
30,10033,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,10033.0,59607.0,2800.0,8637.0,24141.0,24878.0,59913.0,6195.0,35.8,19652.0,3.0331263993486672,90177.25753,0,0,0
31,10034,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,10034.0,42910.0,2100.0,5989.0,16463.0,25312.0,55665.0,4965.0,36.4,16095.0,2.666045355700528,35728.191,0,0,0
32,10035,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,10035.0,35743.0,2100.0,15618.0,7246.0,18718.0,36792.0,14580.0,36.3,14428.0,2.477335736068756,23972.47706,12,12,24
33,10036,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,10036.0,27428.0,1300.0,2326.0,17319.0,61935.0,151935.0,1978.0,36.7,16183.0,1.6948649817709942,56034.01361,0,0,0
34,10037,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,10037.0,21139.0,950.0,15990.0,2291.0,30791.0,46132.0,15206.0,35.3,9731.0,2.172335833932792,67766.53696,3,29,32
35,10038,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,10038.0,22800.0,1400.0,2461.0,11784.0,51233.0,87261.0,2128.0,36.2,10210.0,2.2331047992164543,67666.66667,0,0,0
36,10039,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,10039.0,27726.0,1200.0,18406.0,3625.0,23456.0,44213.0,17158.0,33.7,11210.0,2.473327386262266,55997.71689,0,0,0
